id,response,time,correct_bool
1,$48.90 ,2.4254592,TRUE
2,April,3.5062847,TRUE
3,$37.75 - $63.40,5.4299857,TRUE
4,rising,3.8389636,TRUE
5,$23.55 ,2.6434161,TRUE
6,17 Mbps,1.8252349,TRUE
7,South Korea,2.0689314,FALSE
8,3 - 20 Mbps,2.5144717,TRUE
9,2 countries,3.8773871,FALSE
10,$5 ,3.3412461,TRUE
11,1 to 4,3.382165,TRUE
12,San Francisco,2.0827301,TRUE
13,$5 - $16,3.5861882,TRUE
14,FALSE,3.9704343,TRUE
15,FALSE,3.1440693,FALSE
16,75%,2.27577,TRUE
17,Postgraduate Study,2.9314413,TRUE
18,TRUE,2.9082202,TRUE
19,32%,1.718002,TRUE
20,Others,2.7660479,TRUE
21,TRUE,2.1688966,TRUE
22,250,3.991264,FALSE
23,4.4-4.6,2.4717056,FALSE
24,TRUE,3.5062961,TRUE
25,FALSE,3.7181826,TRUE
26,Cannot be inferred,4.3180548,TRUE
27,70.5 kg,3.7164279,TRUE
28,197.1 cm,2.2654428,TRUE
29,53.9 - 116.3 kg,3.0805433,TRUE
30,TRUE,2.9906053,TRUE
31,TRUE,4.14558,TRUE
32,FALSE,3.3900173,TRUE
33,FALSE,2.651891,TRUE
34,FALSE,3.1064908,TRUE
35,$5.10 ,2.5931033,FALSE
36,Feb-14,2.2463637,FALSE
37,$4.6 - $6.1,2.7434471,TRUE
38,rising then falling,3.452454,TRUE
39,9 months,4.2022199,FALSE
40,10100,3.5408718,TRUE
41,1 to 1,4.214661,TRUE
42,2014,2.524763,TRUE
43,"1,800 - 4,000",4.9589949,FALSE
44,rising,3.0237739,TRUE
45,TRUE,3.0478823,TRUE
46,FALSE,3.015531,FALSE
47,330 km,2.0781362,TRUE
48,F,2.7274105,TRUE
49,190 - 540 km,1.8974283,TRUE
50,FALSE,3.4422625,TRUE
51,G,5.120195,TRUE
52,FALSE,4.0874569,TRUE
53,FALSE,4.0378848,TRUE
54,TRUE,4.0569598,TRUE
55,1.1% - 2.3%,3.2383402,TRUE
56,Alaska (AK),2.1722732,TRUE
57,FALSE,3.2666092,TRUE
58,30%,2.9494893,FALSE
59,Google,2.9294346,TRUE
60,FALSE,3.9614767,FALSE
61,TRUE,2.6066483,TRUE
