id,response,time,correct_bool
1,$48.90 ,3.9851114,TRUE
2,April,4.2362435,TRUE
3,$37.75 - $63.40,3.4784905,TRUE
4,rising,2.2936082,TRUE
5,$23.55 ,2.8696172,TRUE
6,17 Mbps,2.4681455,TRUE
7,Sri Lanka,2.2919388,TRUE
8,3 - 20 Mbps,3.0369915,TRUE
9,4 countries,2.7555509,FALSE
10,$5 ,2.5753504,TRUE
11,1 to 4,2.9338292,TRUE
12,Atlanta,2.5712089,FALSE
13,$5 - $16,3.1392169,TRUE
14,FALSE,2.8730577,TRUE
15,FALSE,2.4549662,FALSE
16,38%,2.4944892,FALSE
17,High School Graduate or Less,2.7622343,FALSE
18,FALSE,2.5891054,FALSE
19,32%,3.3965409,TRUE
20,Others,2.1045727,TRUE
21,TRUE,2.1631775,TRUE
22,310,3.082341,TRUE
23,4.2-4.4,3.8461318,TRUE
24,FALSE,3.6984082,FALSE
25,FALSE,3.6787151,TRUE
26,Cannot be inferred,3.6439337,TRUE
27,58.2 kg,2.8446521,FALSE
28,197.1 cm,2.3688838,TRUE
29,53.9 - 123.6 kg,3.6107168,FALSE
30,TRUE,2.3152861,TRUE
31,TRUE,2.5005892,TRUE
32,TRUE,2.6072565,FALSE
33,FALSE,2.5138151,TRUE
34,FALSE,2.6322641,TRUE
35,$5.10 ,2.7122005,FALSE
36,14-Dec,3.0148845,TRUE
37,$4.6 - $6.1,3.701655,TRUE
38,falling,2.409912,FALSE
39,5 months,2.763727,FALSE
40,3800,2.9665063,FALSE
41,1 to 1,3.300651,TRUE
42,2014,2.5412036,TRUE
43,"2,100 - 5,200",3.7897745,TRUE
44,rising,2.8406905,TRUE
45,TRUE,7.3735414,TRUE
46,FALSE,2.4193305,FALSE
47,530 km,3.1680938,FALSE
48,F,4.8703074,TRUE
49,150 - 600 km,3.8642814,FALSE
50,FALSE,3.3484184,TRUE
51,G,3.0708028,TRUE
52,TRUE,2.9604016,FALSE
53,TRUE,2.8251039,FALSE
54,TRUE,3.2618716,TRUE
55,4.6% - 5.7%,4.2090232,FALSE
56,AK,3.5755412,TRUE
57,FALSE,3.6794686,TRUE
58,20%,4.0199625,FALSE
59,Google,3.4279379,TRUE
60,TRUE,3.2100795,TRUE
61,TRUE,2.6832146,TRUE
