id,response,time,correct_bool
1,$48.90 ,1.136325,TRUE
2,April,0.9529537,TRUE
3,$37.75 - $63.40,1.0486917,TRUE
4,rising,0.9520978,TRUE
5,23.55,1.0611622,TRUE
6,17 Mbps,1.3600582,TRUE
7,South Korea,0.9138868,FALSE
8,3 - 20 Mbps,0.947685,TRUE
9,6 countries,0.8963652,FALSE
10,$5 ,1.3636131,TRUE
11,1 to 4,0.9536979,TRUE
12,San Francisco,0.9406426,TRUE
13,$5 - $16,0.9042308,TRUE
14,FALSE,0.9972737,TRUE
15,TRUE,0.992294,TRUE
16,75%,4.8643814,TRUE
17,Postgraduate Study,0.88003,TRUE
18,FALSE,0.8724169,FALSE
19,32%,5.3669585,TRUE
20,Others,0.8643673,TRUE
21,TRUE,0.8883278,TRUE
22,310,1.3471727,TRUE
23,4.2-4.4,0.960037,TRUE
24,FALSE,0.9616457,FALSE
25,FALSE,0.9997134,TRUE
26,Cannot be inferred,0.9779628,TRUE
27,70.5 kg,1.5024988,TRUE
28,197.1 cm,0.9612419,TRUE
29,53.9 - 116.3 kg,0.9669483,TRUE
30,TRUE,1.0244785,TRUE
31,TRUE,0.9448297,TRUE
32,TRUE,1.2319278,FALSE
33,FALSE,1.0635498,TRUE
34,FALSE,1.1353444,TRUE
35,$5.50 ,1.4285747,TRUE
36,Feb-14,0.9639877,TRUE
37,$4.6 - $6.1,0.9650049,TRUE
38,rising then falling,0.9738409,TRUE
39,9 months,0.9503109,FALSE
40,3800,1.4329413,FALSE
41,1 to 1,0.898793,TRUE
42,2014,0.9699536,TRUE
43,"500 - 4,700",0.964826,FALSE
44,rising,0.9124946,TRUE
45,TRUE,0.8847473,TRUE
46,TRUE,0.9938443,TRUE
47,330 km,1.3860126,TRUE
48,F,1.1449404,TRUE
49,150 - 600 km,1.0305634,FALSE
50,FALSE,1.1068408,TRUE
51,G,1.0128691,TRUE
52,TRUE,0.9966361,FALSE
53,TRUE,0.9873408,FALSE
54,TRUE,1.0452213,TRUE
55,4.6% - 5.7%,1.4652903,FALSE
56,Alaska (AK),0.9729321,TRUE
57,TRUE,0.9699751,FALSE
58,20%,1.402795,FALSE
59,Google,0.953577,TRUE
60,TRUE,0.9403532,TRUE
61,TRUE,0.9108072,TRUE
