id,response,time,correct_bool
1,$48.90 ,9.4206762,TRUE
2,April,9.5856901,TRUE
3,$37.75 - $63.40,12.2661173,TRUE
4,rising,9.3587802,TRUE
5,$23.55 ,9.6554959,TRUE
6,17 Mbps,9.7391854,TRUE
7,South Korea,7.8381355,FALSE
8,3 - 20 Mbps,10.9306711,TRUE
9,2 countries,13.7239865,FALSE
10,$5 ,17.8355446,TRUE
11,1 to 4,16.6757083,TRUE
12,San Francisco,14.5548526,TRUE
13,$5 - $16,16.6164669,TRUE
14,FALSE,18.2300716,TRUE
15,FALSE,16.4370963,FALSE
16,75%,10.387863,TRUE
17,Postgraduate Study,9.4735233,TRUE
18,TRUE,8.4293158,TRUE
19,32%,8.4010377,TRUE
20,Others,8.8925072,TRUE
21,TRUE,7.180366,TRUE
22,314,16.6752818,TRUE
23,4.2-4.4,11.6837694,TRUE
24,TRUE,13.4659221,TRUE
25,FALSE,12.0472573,TRUE
26,Cannot be inferred,10.9956275,TRUE
27,70.5 kg,10.0469242,TRUE
28,197.1 cm,22.2649317,TRUE
29,53.9 - 116.3 kg,8.521113,TRUE
30,TRUE,24.6473505,TRUE
31,TRUE,18.3467388,TRUE
32,FALSE,32.0257119,TRUE
33,FALSE,22.9083308,TRUE
34,FALSE,19.5496442,TRUE
35,$5.50 ,14.9274418,TRUE
36,14-Feb,16.604694,TRUE
37,$4.6 - $6.1,15.6542416,TRUE
38,rising then falling,16.2932581,TRUE
39,12 months,21.1542151,TRUE
40,10100,9.0242822,TRUE
41,1 to 1,16.9716597,TRUE
42,2014,10.1813553,TRUE
43,"2,100 - 5,200",14.7141166,TRUE
44,rising,10.2721793,TRUE
45,TRUE,10.0106119,TRUE
46,TRUE,12.7272536,TRUE
47,330 km,13.940151,TRUE
48,F,12.5562563,TRUE
49,190 - 540 km,14.3715626,TRUE
50,FALSE,14.5284376,TRUE
51,G,16.1327115,TRUE
52,FALSE,14.1749594,TRUE
53,FALSE,17.8121208,TRUE
54,TRUE,12.9486675,TRUE
55,1.1% - 2.3%,36.1429901,TRUE
56,Alaska (AK),24.8804118,TRUE
57,FALSE,27.6053633,TRUE
58,30%,15.5079581,FALSE
59,Google,7.2006214,TRUE
60,TRUE,14.4692164,TRUE
61,TRUE,10.4347635,TRUE
