id,response,time,correct_bool
1,$57.36 ,89.2630022,FALSE
2,April,69.305556,TRUE
3,$37.75 - $63.40,91.7244204,TRUE
4,rising,62.5137603,TRUE
5,$23.55 ,72.42002,TRUE
6,17 Mbps,76.2025132,TRUE
7,Sri Lanka,61.8610005,TRUE
8,3 - 20 Mbps,74.9019269,TRUE
9,10 countries,85.9851271,TRUE
10,$5 ,57.286352,TRUE
11,1 to 4,83.4841017,TRUE
12,San Francisco,59.3966586,TRUE
13,$5 - $16,84.9272715,TRUE
14,FALSE,49.2084263,TRUE
15,TRUE,98.3091353,TRUE
16,38%,70.4809284,FALSE
17,High School Graduate or Less,64.975322,FALSE
18,FALSE,43.7904438,FALSE
19,32%,60.0196735,TRUE
20,Others,59.0467282,TRUE
21,TRUE,42.9655703,TRUE
22,314,163.5310363,TRUE
23,4.2-4.4,85.9276182,TRUE
24,TRUE,76.8963102,TRUE
25,FALSE,77.2345111,TRUE
26,200,63.7638483,FALSE
27,70.5 kg,56.8147026,TRUE
28,197.1 cm,56.7602195,TRUE
29,40 - 130 kg,215.9512499,FALSE
30,TRUE,195.1881818,TRUE
31,TRUE,169.3093754,TRUE
32,TRUE,180.3134746,FALSE
33,FALSE,178.7441239,TRUE
34,FALSE,56.7408089,TRUE
35,$5.00 ,126.4243579,FALSE
36,14-Feb,143.6977381,TRUE
37,$4.6 - $6.1,125.7637179,TRUE
38,rising then falling,110.9854317,TRUE
39,9 months,146.5541536,FALSE
40,10100,69.8027855,TRUE
41,1 to 1,53.2787833,TRUE
42,2014,47.4068334,TRUE
43,"500 - 4,700",84.1786778,FALSE
44,rising,74.367911,TRUE
45,TRUE,39.3885969,TRUE
46,FALSE,84.6746561,FALSE
47,330 km,91.7641558,TRUE
48,F,69.3545059,TRUE
49,190 - 540 km,90.097431,TRUE
50,FALSE,69.0788833,TRUE
51,G,85.4037225,TRUE
52,FALSE,84.1778666,TRUE
53,TRUE,113.0901704,FALSE
54,TRUE,100.0633008,TRUE
55,4.6% - 5.7%,226.7265388,FALSE
56,AK,62.9381943,TRUE
57,FALSE,37.7376247,TRUE
58,20%,36.3897116,FALSE
59,Google,51.6487841,TRUE
60,FALSE,22.3716798,FALSE
61,TRUE,54.2289432,TRUE
