id,response,time,correct_bool
1,$48.90 ,6.653408,TRUE
2,April,7.8917306,TRUE
3,$37.75 - $63.40,8.0918687,TRUE
4,rising,7.0660649,TRUE
5,$23.55 ,6.3098804,TRUE
6,17 Mbps,8.0642492,TRUE
7,South Korea,6.9769268,FALSE
8,3 - 20 Mbps,7.4810949,TRUE
9,10,9.3106114,TRUE
10,$5 ,8.0833058,TRUE
11,1 to 4,9.874144,TRUE
12,San Francisco,9.3339138,TRUE
13,$5 - $16,9.0353804,TRUE
14,FALSE,8.7226724,TRUE
15,TRUE,8.3354618,TRUE
16,75%,6.7401719,TRUE
17,Postgraduate Study,4.381134,TRUE
18,TRUE,5.8329016,TRUE
19,32%,5.0648256,TRUE
20,Others,5.2894046,TRUE
21,TRUE,4.4500119,TRUE
22,310,6.8831517,TRUE
23,4.2-4.4,6.7591251,TRUE
24,TRUE,9.3208881,TRUE
25,FALSE,7.2481862,TRUE
26,Cannot be inferred,6.9985255,TRUE
27,70.5 kg,4.8023316,TRUE
28,197.1 cm,11.2714374,TRUE
29,53.9 - 116.3 kg,16.9020938,TRUE
30,TRUE,22.3713599,TRUE
31,TRUE,22.985132,TRUE
32,TRUE,24.7973404,FALSE
33,FALSE,14.6880113,TRUE
34,FALSE,15.8022975,TRUE
35,5.5,9.4680369,TRUE
36,Feb-14,12.0334376,TRUE
37,$4.6 - $6.1,10.5876777,TRUE
38,rising then falling,8.5802151,TRUE
39,12 months,14.2653158,TRUE
40,9000,8.1961151,FALSE
41,1 to 1,6.654016,TRUE
42,2014,5.6890348,TRUE
43,"1,800 - 4,000",6.2819103,FALSE
44,rising,6.2580431,TRUE
45,TRUE,5.9620766,TRUE
46,TRUE,7.9602684,TRUE
47,330 km,7.6515958,TRUE
48,F,8.843646,TRUE
49,200 - 560 km,12.9083006,FALSE
50,FALSE,9.5513339,TRUE
51,G,8.1501018,TRUE
52,FALSE,10.7869699,TRUE
53,FALSE,16.2180153,TRUE
54,TRUE,8.2681469,TRUE
55,4.6% - 5.7%,15.9995017,FALSE
56,AK,4.3937571,TRUE
57,FALSE,3.8610907,TRUE
58,20%,11.7084768,FALSE
59,Facebook,12.8957537,FALSE
60,TRUE,11.2297788,TRUE
61,TRUE,9.5989737,TRUE
