"Name","Length"
"Feudinge (Rppersbach)","6.3"
"Ilse","8.4"
"Banfe","11.5"
"Laasphe","8.3"
"Perf","20"
"Dautphe","8.8"
"Wetschaft","29"
"Ohm","59.7"
"Allna","19.1"
"Zwester Ohm","20"
"Salzböde","27.6"
"Lumda","30"
"Wieseck","24.3"
"Bieber","13.6"
"Kleebach","26.9"
"Wetzbach","11.7"
"Dill","55"
"Solmsbach","24.6"
"Iserbach (Möttbach)","19.2"
"Ulmbach","22.9"
"Kallenbach","14.6"
"Weil","46.6"
"Kerkerbach","20.7"
"Emsbach","39.1"
"Elbbach","40.7"
"Aar","49.7"
"Dörsbach","32"
"Gelbach (Aubach)","39.7"
"Mühlbach","32.1"
"Emsbach","11.5"
