"age","Male","Female"
"0","9735380","9310714"
"5","10552146","10069564"
"10","10563233","10022524"
"15","10237419","9692669"
"20","9731315","9324244"
"25","9659493","9518507"
"30","10205879","10119296"
"35","11475182","11635647"
"40","11320252","11488578"
"45","9925006","10261253"
"50","8507934","8911133"
"55","6459082","6921268"
"60","5123399","5668961"
"65","4453623","4804784"
"70","3792145","5184855"
"75","2912655","4355644"
"80","1902638","3221898"
"85","970357","1981156"
"90","336303","1064581"
