"Country","Improve","Remain the same","Worsen"
"Brazil","84","12","5"
"China","83","9","2"
"Tunisia","75","12","12"
"U.S.","52","26","20"
"Mexico","51","32","16"
"Egypt","50","28","20"
"India","45","25","24"
"Turkey","44","22","26"
"Britain","32","35","32"
"Russia","31","44","15"
"Germany","29","43","27"
"Jordan","29","35","34"
"Pakistan","26","23","43"
"Spain","25","27","47"
"France","22","37","40"
"Italy","22","29","47"
"Lebanon","22","29","45"
"Poland","18","45","33"
"Japan","16","49","33"
"Czech Rep.","13","27","60"
"Greece","9","10","81"
