"country","Pre UK rebate","Post UK rebate"
"Germany","25.249","25.601"
"France","19.795","20.938"
"UK","18.651","14.78"
"Italy","15.748","16.628"
"Spain","10.821","11.613"
"Netherlands","6.246","6.51"
"Belgium","5.103","5.367"
"Poland","3.959","4.223"
"Sweden","3.695","3.695"
"Austria","2.727","2.727"
"Denmark","2.551","2.727"
"Greece","2.199","2.375"
"Finland","2.023","2.199"
"Portugal","1.672","1.76"
"Czech Republic","1.76","1.76"
"Ireland","1.408","1.496"
"Romania","1.408","1.496"
"Hungary","1.144","1.232"
"Slovakia","0.792","0.88"
"Slovenia","0.616","0.616"
"Bulgaria","0.616","0.616"
"Lithuania","0.44","0.44"
"Luxembourg","0.44","0.44"
"Cyprus","0.264","0.264"
"Latvia","0.176","0.176"
"Estonia","0.176","0.176"
"Malta","0","0"
