"date","price"
"August, 2004","102.37"
"September, 2004","129.6"
"October, 2004","190.64"
"November, 2004","181.98"
"December, 2004","192.79"
"January, 2005","195.62"
"February, 2005","187.99"
"March, 2005","180.51"
"April, 2005","220"
"May, 2005","277.27"
"June, 2005","294.15"
"July, 2005","287.76"
"August, 2005","286"
"September, 2005","316.46"
"October, 2005","372.14"
"November, 2005","404.91"
"December, 2005","414.86"
"January, 2006","432.66"
"February, 2006","362.62"
"March, 2006","390"
"April, 2006","417.94"
"May, 2006","371.82"
"June, 2006","419.33"
"July, 2006","386.6"
"August, 2006","378.53"
"September, 2006","401.9"
"October, 2006","476.39"
"November, 2006","484.81"
"December, 2006","460.48"
"January, 2007","501.5"
"February, 2007","449.45"
"March, 2007","458.16"
"April, 2007","471.38"
"May, 2007","497.91"
"June, 2007","522.7"
"July, 2007","510"
"August, 2007","515.25"
"September, 2007","567.27"
"October, 2007","707"
"November, 2007","693"
"December, 2007","691.48"
"January, 2008","564.3"
"February, 2008","471.18"
"March, 2008","440.47"
"April, 2008","574.29"
"May, 2008","585.8"
"June, 2008","526.42"
"July, 2008","473.75"
"August, 2008","463.29"
"September, 2008","400.52"
"October, 2008","359.36"
"November, 2008","292.96"
"December, 2008","307.65"
"January, 2009","338.53"
"February, 2009","337.99"
"March, 2009","348.06"
"April, 2009","395.97"
"May, 2009","417.23"
"June, 2009","421.59"
"July, 2009","443.05"
"August, 2009","461.67"
"September, 2009","495.85"
"October, 2009","536.12"
"November, 2009","583"
"December, 2009","619.98"
"January, 2010","529.94"
"February, 2010","526.8"
"March, 2010","560.19"
