"weather","month","count"
"drizzle","January","10"
"rain","January","35"
"sun","January","33"
"snow","January","8"
"rain","February","40"
"sun","February","30"
"drizzle","February","4"
"snow","February","3"
"sun","March","42"
"rain","March","37"
"snow","March","6"
"drizzle","March","3"
"rain","April","20"
"sun","April","61"
"snow","April","1"
"drizzle","April","4"
"rain","May","16"
"sun","May","82"
"drizzle","May","1"
"rain","June","19"
"sun","June","85"
"drizzle","June","2"
"rain","July","14"
"sun","July","89"
"drizzle","July","8"
"fog","July","13"
"drizzle","August","8"
"sun","August","94"
"rain","August","6"
"sun","September","71"
"rain","September","4"
"fog","September","40"
"drizzle","September","5"
"sun","October","45"
"drizzle","October","4"
"rain","October","20"
"rain","November","25"
"sun","November","42"
"drizzle","November","3"
"fog","November","50"
"rain","December","23"
"sun","December","40"
"snow","December","5"
"drizzle","December","2"
"fog","March","36"
"fog","April","34"
"fog","May","25"
"fog","June","14"
"fog","August","16"
"fog","October","55"
"fog","December","54"
"fog","January","38"
"fog","February","36"
