id,vis,question,correct
1,kong_27,which country's economy will get most worse over next 12 months?,Greece
2,kong_27,Which country has the shortest orange bar?,China
3,kong_27,Which country has the least total percentage of responses?,Russia
4,kong_27,how many countries in Asia will have their economy improved based on majority votes?,1
5,kong_27,how many countries' economy will worsen based on the majority people's opinions?,2
6,kong_27,what is the blue value of China?,83
7,kong_27,how many countries' economy will improve based on the majority people's opinions?,5
8,kong_27,Which countries have more than 50% of responses believing that the economy will improve?,Brazil|China|Tunisia|U.S.|Mexico
9,kong_27,Which country has the highest red bar?,Greece
10,kong_27,"What is the average percentage of responses for ""remaining the same"" for japan, China, and the U.S.?",28
11,kong_30,"Which country has the highest percentage of ""Most succeed if work hard""?",Pakistan
12,kong_30,"Which country has the lowest percentage for ""Most succeed if work hard""?",Lebanon
13,kong_30,"Is the percentage of ""Most succeed if work hard"" higher in Italy than Greece?",No
14,kong_30,"On average, what percentage of people world wide feel like hard work has no guarantee on success?",40.142857
15,kong_30,What percentage of Japanese people believe that there is no guarantee of success from hard work?,59
16,kong_30,Is China more or less optimistic about hard work leading to success than the US?,Less
17,kong_30,Which country has the most positive outlook on hard work?,Pakistan
18,kong_30,How much more or less does Russia believe that most will succeed with hard work than Brazil?,34
19,kong_30,What is the value of blue bar in France?,54
20,kong_30,What is the difference between the largest orange percentage to that of the U.S.A.?,4
21,kong_30,How much more or less is the largest blue percentage compared to the largest orange percentage across all nations?,17
22,kong_30,Which country has the largest percentage of respondents who believe that most will succeed if they work hard?,Pakistan
23,kong_30,What is the value of orange bar in Mexico?,65
24,kong_30,What is value of orange bar in Brazil?,69
25,kong_30,What is the percentage of Poland for hard work no guarantee?,43
26,kong_30,What is the value of most succeeding if working hard in U.S?,77
27,kong_30,Which country's has the lowest summed value from the two responses?,China
28,kong_3,"Which religious is more common to have religious extremism, Catholics or Orthodox christian?",Catholics
29,kong_3,"Which religion had the highest percentage of responses that say ""Not too/not at all common""?",Hindus|Orthodox Christian
30,kong_3,What is the average percentage of religious extremism shown in the chart?,18.83333
31,kong_3,"What is the average percentage of all responses that say ""Very/somewhat common""?",18.83333
32,kong_3,Which religious has the most percentage of religious extremism?,Muslims
33,kong_3,Which religious has less than 10 percent of religious extremism?,Catholics|Mormons|Orthodox Christians|Buddhists|Hindus
34,kong_3,"What is the average percentage of responses that say ""Very/somewhat common"" for Jews, Muslims, and Catholics?",27.33333
35,kong_3,Which religious has the least proportion of religious extremism?,Hindus|Orthodox Christian
36,kong_3,Which religion shown has the highest percentage in how common religious extremism is?,Muslims
37,kong_3,How common is religious extremism for Catholics shown in the chart?,8
38,kong_3,What percentage of Jews would religious extremism be not too common?,83
39,kong_3,Which religious has more than 40 percent of religious extremism?,Muslims
40,kong_3,"Which religions had more than 20% of responses say ""Very/somewhat common""?",Other non-Christian|Protestants|Pagan/earth-based|Muslims
41,kong_3,Which religion(s) in the chart have the smallest percentage in how common religious extremism is?,Hindus|Orthodox Christians
42,kong_3,"Which religion had the lowest percentage of responses say ""Very/somewhat common""?",Hindus|Orthodox Christian
43,kong_15,What is the total population density of Rwanda?,0.5
44,kong_15,What is the total population density of Hong Kong?,6.4
45,kong_15,Which country or principality has the smallest difference between urban population density and overall population density?,Monaco
46,kong_15,What is the total population density difference between South Korea and Japan?,0
47,kong_15,What is the difference pf persons per square kilometer between the Bangladesh urban areas and the country as a whole?,74.2
48,kong_15,"Of the countries and regions listed, which has the lowest number of persons per square kilometer of urban areas?",Australia
49,kong_15,What is the urban populaton density in Macau?,26
50,kong_15,Which country or principality has the highest total population density?,Macau
51,kong_15,How much more urban population density is India vs. Indonesia?,8.6
52,kong_15,What is the average persons per square kilometer of urban regions of South Korea and Japan combined?,7.85
53,kong_17,What organization has a value that's more than 1 but less than 2?,Marist (NBC/Marist)
54,kong_17,Whats the difference between the maximum and minimum values?,5.7
55,kong_17,What organization has the least effect?,CNN (Opinion Research)
56,kong_17,How much higher is the value of SurveyUSA than the value of YouGov?,1.6
57,kong_17,What is the difference between the value of Gallup and Quinnipiac?,0.8
58,kong_17,Is Washington Post / ABC News  Republican or Democratic?,Republican
59,kong_17,What position is Ipsos in?,3
60,kong_17,What is the exact value of the bar for Gallup?,-2.5
61,kong_17,What organization has the lowest value?,Gallup
62,kong_17,What is the exact value of the bar for Rasmussen Reports?,-1.3
63,kong_18,What was the percentage of risk taken by people under 35 in 2001?,30.06
64,kong_18,What is the year with the lowest risk taken for people under 35,2007
65,kong_18,Which is the least risk averse group?,65+
66,kong_18,What is the percentage of risk taken by people aged between 50 and 64 for the year 2012?,19.07
67,kong_18,In which year investors of all age groups took bigger risks?,2001
68,kong_18,What is the percentage of risk taken by people of ages between 35 and 49 in 2007?,26.02
69,kong_18,What is the highest percentage of risk ever taken by all groups in all years?,30.06
70,kong_18,What is the year with the highest risk taken by people over 65?,2001
71,kong_18,In which year did Under 35 age group take their lowest risk?,2007
72,kong_18,Which age group of stock investors consistently took lower risks?,65+
73,kong_5,how much more growth is there in Muslims than Protestants?,4
74,kong_5,Which group saw the highest growth?,Muslims
75,kong_5,Which had the highest percentage of staying the same?,Hindu
76,kong_5,What is the percentage of blue Buddhists?,12
77,kong_5,What is the percentage of orange Hindus?,8
78,kong_5,What is the summed value of the red and orange bar for Buddhists?,75
79,kong_5,What is the difference between the growth in Jews compared to the growth in Paganism?,15
80,kong_5,what is the percentage of orange Jews?,8
81,kong_5,What does the orange bar represent?,Shrinking
82,kong_5,Which group has the highest total percentages?,Muslims|Protestants|Catholics
83,kong_5,which group has the least growth?,Hindus
84,kong_5,Which group has the highest percentage of staying the same?,Catholics
85,kong_5,What is the percentage of red Protestants?,42
86,kong_5,What is the percentage of blue protestants?,47
87,kong_50,Which country has the highest Post UK rebate budget?,Germany
88,kong_50,What is the post UK rebate budget for Poland?,4.223
89,kong_50,"What was the gross contributions to the EU budget in 2012 by the Sweden, pre UK rebate?",3.695
90,kong_50,Budget of Slovenia Pre UK rebate,0.616
91,kong_50,Difference between Pre UK rebate and Post UK rebate,3.871
92,kong_50,Italy Pre UK rebate budget,15.748
93,kong_50,"Who gave the lowest gross contributions to the EU budget in 2012, post UK rebate?",Malta
94,kong_50,Which country has the lowest rebate budget overall?,Malta
